Channel,Product,Smoker,Joint?,Person1 Age,Term,TotalPremium,Sale,JF (Score),EF (No. of people not same surname at current address),ND (Months since last CCJ)
Direct,Decreasing accelerated,N,N,41.0,30,31.76,1,580,0,1
MSM,Level,N,Y,39.0,20,16.53,1,580,0,1
CTM,Decreasing,Y,N,45.0,10,26.76,0,9999,1,1
Direct,Level with CI,Y,Y,40.0,40,11.15,0,9999,1,1
Direct,Level accelerated,Y,Y,33.0,40,26.76,0,9999,1,1
CTM,Level,N,N,40.0,15,10.27,0,558,0,1
CTM,Level with CI,Y,N,59.0,30,8.38,0,558,0,1
CTM,Level,Y,N,42.0,40,13.07,0,563,0,1
MSM,Decreasing,N,Y,38.0,20,13.07,0,563,0,1
CTM,Decreasing with CI,Y,Y,56.0,30,29.36,0,562,0,1
CTM,Level,Y,Y,43.0,30,33.29,0,572,0,1
CTM,Decreasing,Y,Y,46.0,20,220.49,0,546,0,1
Direct,Level,N,Y,41.0,40,100.0,0,546,0,1
MSM,Level,N,N,52.0,20,100.0,0,546,0,1
MSM,Level with CI,Y,Y,50.0,40,117.19,0,546,0,1
CTM,Level with CI,N,N,45.0,20,28.98,0,567,0,1
CTM,Level,Y,Y,35.0,5,25.74,0,567,0,1
CTM,Decreasing with CI,Y,N,48.0,20,20.46,0,567,0,1
Direct,Decreasing,Y,Y,39.0,10,25.74,0,567,0,1
MSM,Decreasing with CI,N,Y,45.0,20,20.46,0,567,0,1
Direct,Level with CI,Y,N,34.0,20,25.74,0,567,0,1
CTM,Level with CI,N,Y,49.0,20,25.02,0,567,0,1
CTM,Decreasing with CI,Y,N,40.0,30,25.02,0,567,0,1
Direct,Level with CI,N,N,46.0,5,27.28,0,567,0,1
CTM,Decreasing with CI,N,N,26.0,30,34.98,0,567,0,1
Direct,Decreasing,N,N,24.0,30,28.98,0,567,0,1
MSM,Level,N,N,39.0,20,220.49,0,546,0,1
CTM,Level,N,N,38.0,20,100.0,0,546,0,1
MSM,Level with CI,Y,N,52.0,10,100.0,0,546,0,1
CTM,Decreasing,Y,N,44.0,20,117.19,0,546,0,1
Direct,Level,N,N,27.0,5,5.32,0,537,0,1
CTM,Decreasing with CI,N,Y,50.0,5,6.5,0,537,0,1
CTM,Decreasing,Y,Y,36.0,30,6.5,0,537,0,1
CTM,Level,Y,N,50.0,20,24.93,0,9999,1,1
CTM,Decreasing accelerated,N,N,35.0,15,24.93,0,9999,1,1
Direct,Level with CI,N,Y,42.0,5,13.82,0,471,1,1
Direct,Level with CI,N,Y,48.0,30,28.98,0,567,0,1
Direct,Decreasing with CI,Y,Y,41.0,5,25.74,0,567,0,1
MSM,Decreasing with CI,Y,Y,46.0,30,20.46,0,567,0,1
CTM,Level,N,Y,62.0,20,25.74,0,567,0,1
MSM,Level with CI,Y,N,33.0,20,20.46,0,567,0,1
CTM,Level,Y,Y,43.0,20,25.74,0,567,0,1
CTM,Decreasing with CI,N,N,38.0,20,25.02,0,567,0,1
CTM,Level,Y,N,59.0,25,27.28,0,567,0,1
Direct,Level with CI,N,Y,37.0,35,34.98,0,567,0,1
CTM,Level,Y,N,39.0,30,28.98,0,567,0,1
CTM,Decreasing,Y,N,49.0,20,19.65,1,580,0,1
Direct,Decreasing,N,N,44.0,10,16.53,1,580,0,1
CTM,Level,N,N,41.0,40,33.29,0,575,0,1
Direct,Decreasing,N,Y,34.0,5,19.07,0,9999,1,1
CTM,Decreasing,N,Y,44.0,25,10.88,0,9999,1,1
CTM,Decreasing with CI,Y,N,45.0,30,29.76,1,568,0,1
Direct,Level,Y,Y,36.0,20,29.76,1,568,0,1
CTM,Decreasing with CI,Y,Y,62.0,10,36.47,1,568,0,1
CTM,Decreasing accelerated,N,N,42.0,20,10.68,1,568,0,1
CTM,Level,Y,N,34.0,30,10.68,1,568,0,1
CTM,Level,N,N,41.0,5,24.41,1,9999,1,1
CTM,Level,Y,Y,44.0,10,24.41,1,9999,1,1
Direct,Decreasing accelerated,Y,N,59.0,30,24.41,1,9999,1,1
MSM,Level with CI,Y,Y,49.0,25,24.41,1,9999,1,1
CTM,Level,Y,N,58.0,5,18.67,1,9999,1,1
MSM,Level,N,Y,39.0,20,18.67,1,9999,1,1
CTM,Level,Y,N,45.0,20,33.22,0,490,1,1
CTM,Level,N,Y,50.0,30,30.84,0,490,1,1
CTM,Level,N,Y,32.0,20,32.59,0,490,1,1
Direct,Decreasing with CI,Y,N,41.0,20,32.4,0,490,1,1
Direct,Level,N,N,44.0,40,30.0,0,490,1,1
CTM,Level,N,Y,39.0,20,32.59,0,490,1,1
CTM,Decreasing,N,Y,58.0,20,32.59,0,490,1,1
Direct,Decreasing,N,N,44.0,10,32.28,0,490,1,1
Direct,Level,Y,N,58.0,30,32.28,0,490,1,1
CTM,Decreasing accelerated,Y,N,47.0,25,39.19,0,490,1,1
CTM,Level,N,Y,39.0,20,37.87,0,490,1,1
MSM,Level,N,N,59.0,20,36.34,0,490,1,1
CTM,Level,N,N,41.0,30,36.22,0,490,1,1
CTM,Decreasing,N,N,43.0,20,36.03,0,490,1,1
CTM,Decreasing,Y,Y,34.0,20,35.72,0,490,1,1
Direct,Level with CI,Y,N,47.0,20,34.46,0,490,1,1
Direct,Level,Y,Y,48.0,20,32.91,0,490,1,1
CTM,Level accelerated,N,Y,32.0,30,37.24,0,490,1,1
CTM,Decreasing with CI,N,N,51.0,10,32.59,0,490,1,1
CTM,Level with CI,Y,Y,35.0,20,35.0,0,490,1,1
Direct,Level,N,Y,44.0,40,27.0,0,490,1,1
Direct,Decreasing,Y,Y,43.0,20,19.97,0,490,1,1
Direct,Level accelerated,N,Y,43.0,10,77.95,1,588,0,1
MSM,Level with CI,Y,N,50.0,35,34.28,1,588,0,1
CTM,Decreasing,Y,N,46.0,30,12.03,1,588,0,1
MSM,Level,Y,Y,64.0,20,12.03,1,588,0,1
CTM,Decreasing with CI,Y,Y,39.0,20,12.03,1,588,0,1
Direct,Level,Y,Y,32.0,20,14.37,1,588,0,1
MSM,Level,N,Y,21.0,30,18.24,1,588,0,1
CTM,Level,N,Y,39.0,20,20.15,0,573,0,1
CTM,Decreasing,Y,Y,45.0,35,10.0,0,559,0,1
CTM,Level with CI,Y,Y,45.0,10,10.0,0,559,0,1
MSM,Level with CI,Y,N,50.0,20,52.99,0,559,0,1
CTM,Level,Y,N,37.0,5,20.01,0,559,0,1
MSM,Decreasing with CI,N,Y,39.0,10,17.72,1,558,0,1
Direct,Level,Y,N,34.0,20,17.3,1,558,0,1
CTM,Level with CI,N,Y,53.0,15,17.3,1,558,0,1
CTM,Decreasing accelerated,N,Y,50.0,20,13.97,1,558,0,1
CTM,Level with CI,N,N,49.0,10,17.72,1,558,0,1
Direct,Level,N,N,41.0,20,17.72,1,558,0,1
CTM,Decreasing with CI,Y,N,52.0,20,19.41,1,558,0,1
Direct,Decreasing with CI,N,N,44.0,25,24.42,1,558,0,1
MSM,Level with CI,Y,N,36.0,10,39.11,0,575,0,1
CTM,Level,Y,Y,44.0,10,37.53,0,575,0,1
CTM,Level,N,Y,39.0,30,15.0,0,572,0,1
CTM,Level,Y,N,59.0,15,15.0,0,572,0,1
CTM,Decreasing,N,N,50.0,30,15.0,0,572,0,1
CTM,Level accelerated,Y,Y,52.0,30,53.41,0,9999,1,1
Direct,Decreasing accelerated,Y,N,43.0,10,37.4,0,9999,1,1
Direct,Level,N,N,50.0,25,28.16,0,9999,1,1
Direct,Level,N,Y,35.0,20,35.14,0,567,0,1
CTM,Decreasing,N,N,48.0,10,35.14,0,567,0,1
CTM,Decreasing accelerated,Y,Y,45.0,30,36.4,0,490,1,1
Direct,Decreasing accelerated,Y,N,48.0,30,33.09,0,513,1,1
CTM,Level,Y,N,39.0,10,35.14,0,567,0,1
Direct,Decreasing with CI,N,N,43.0,20,35.14,0,567,0,1
CTM,Level accelerated,Y,Y,47.0,15,35.92,1,562,0,1
Direct,Decreasing,Y,N,57.0,30,76.31,1,562,0,1
CTM,Decreasing with CI,N,N,51.0,5,76.31,1,562,0,1
CTM,Level,Y,N,49.0,15,19.49,0,9999,1,1
CTM,Decreasing with CI,N,N,47.0,20,19.49,0,9999,1,1
Direct,Level,N,N,33.0,30,74.84,0,565,0,1
CTM,Decreasing with CI,Y,N,51.0,30,15.9,1,9999,1,1
Direct,Level,N,Y,54.0,25,15.9,1,9999,1,1
MSM,Level accelerated,Y,N,48.0,5,15.9,1,9999,1,1
MSM,Decreasing,Y,N,32.0,30,7.12,1,566,0,1
CTM,Decreasing accelerated,N,N,45.0,20,7.12,1,566,0,1
Direct,Level,Y,N,45.0,30,7.12,1,566,0,1
MSM,Level with CI,Y,N,37.0,30,10.0,1,528,0,1
MSM,Decreasing,N,N,51.0,20,10.0,1,528,0,1
CTM,Level,Y,N,52.0,30,10.0,1,528,0,1
CTM,Level,Y,Y,44.0,30,10.0,1,528,0,1
MSM,Decreasing,Y,Y,46.0,30,5.19,0,534,0,1
MSM,Level with CI,Y,Y,39.0,30,5.19,0,534,0,1
Direct,Level,N,Y,55.0,10,5.19,0,534,0,1
CTM,Level,N,Y,42.0,5,5.02,0,534,0,1
CTM,Level,Y,N,56.0,20,5.19,0,534,0,1
CTM,Decreasing with CI,Y,N,45.0,20,15.17,0,554,0,1
Direct,Decreasing with CI,N,Y,44.0,5,15.17,0,554,0,1
Direct,Level,N,Y,26.0,30,23.95,1,546,0,1
Direct,Level with CI,Y,N,34.0,10,29.05,0,553,0,1
CTM,Level,Y,N,32.0,35,25.56,0,553,0,1
CTM,Level,N,Y,39.0,10,23.1,0,548,0,1
Direct,Level,Y,N,46.0,5,25.64,0,513,1,1
CTM,Decreasing,N,Y,52.0,30,25.64,0,513,1,1
MSM,Level,N,Y,26.0,30,23.72,0,513,1,1
MSM,Decreasing,Y,N,45.0,30,23.72,0,513,1,1
CTM,Level with CI,N,Y,44.0,30,258.24,0,9999,1,1
CTM,Level with CI,Y,N,42.0,20,71.5,0,9999,1,1
Direct,Decreasing,Y,N,34.0,40,71.5,0,9999,1,1
Direct,Decreasing with CI,N,N,34.0,5,85.69,0,9999,1,1
MSM,Level,Y,N,54.0,15,35.72,0,545,0,1
CTM,Decreasing,Y,Y,30.0,20,35.72,0,545,0,1
MSM,Level accelerated,Y,Y,42.0,20,35.72,0,545,0,1
CTM,Decreasing with CI,N,N,48.0,30,35.72,0,545,0,1
Direct,Decreasing,Y,N,44.0,20,18.78,0,567,0,1
CTM,Decreasing with CI,N,Y,46.0,15,14.43,0,542,0,1
MSM,Decreasing with CI,N,N,54.0,20,14.43,0,542,0,1
CTM,Level,N,Y,48.0,30,66.0,0,561,0,1
CTM,Level with CI,Y,N,50.0,30,43.95,0,561,0,1
Direct,Level,Y,N,45.0,20,48.57,0,561,0,1
CTM,Level with CI,N,N,40.0,20,41.41,0,561,0,1
Direct,Level,N,Y,22.0,35,35.27,0,561,0,1
Direct,Decreasing,Y,Y,44.0,10,35.27,0,561,0,1
CTM,Level,N,N,36.0,15,34.94,0,577,0,1
CTM,Decreasing,Y,N,53.0,20,34.94,0,577,0,1
CTM,Level,N,N,39.0,25,16.96,0,565,0,1
Direct,Level,N,N,50.0,30,16.96,0,565,0,1
Direct,Level accelerated,Y,Y,31.0,30,16.96,0,565,0,1
MSM,Level,Y,Y,44.0,10,27.12,0,9999,1,1
CTM,Level,N,Y,47.0,20,12.27,0,541,0,1
Direct,Decreasing,Y,Y,36.0,5,12.27,0,541,0,1
Direct,Level accelerated,Y,N,50.0,20,10.98,0,541,0,1
CTM,Decreasing,N,N,47.0,35,12.39,0,541,0,1
Direct,Level with CI,Y,Y,44.0,30,10.7,0,541,0,1
CTM,Level,Y,N,54.0,10,10.7,0,541,0,1
CTM,Decreasing with CI,Y,Y,52.0,20,27.12,0,9999,1,1
CTM,Level,N,Y,38.0,10,14.75,0,564,0,1
Direct,Decreasing with CI,Y,N,39.0,20,14.75,0,564,0,1
MSM,Decreasing with CI,Y,N,38.0,5,24.2,0,568,0,1
MSM,Level,Y,Y,46.0,5,24.2,0,568,0,1
Direct,Level,Y,N,44.0,20,24.2,0,568,0,1
Direct,Level with CI,Y,N,52.0,5,68.38,0,571,0,1
CTM,Level with CI,N,N,41.0,10,35.27,0,561,0,1
CTM,Decreasing accelerated,Y,N,32.0,10,23.68,0,561,0,1
CTM,Level accelerated,N,N,29.0,20,43.26,0,561,0,1
MSM,Decreasing,N,Y,39.0,25,36.15,0,561,0,1
CTM,Level,N,Y,64.0,10,43.26,0,561,0,1
CTM,Level with CI,N,Y,32.0,20,33.64,0,561,0,1
CTM,Level accelerated,N,N,58.0,20,34.27,0,561,0,1
CTM,Decreasing with CI,Y,N,34.0,20,43.95,0,561,0,1
CTM,Level,Y,Y,36.0,10,44.49,0,549,0,1
MSM,Decreasing with CI,N,N,21.0,15,13.62,1,542,0,1
Direct,Level,Y,Y,52.0,30,12.54,1,542,0,1
Direct,Level,Y,N,42.0,20,12.54,1,542,0,1
CTM,Level with CI,Y,N,40.0,20,33.09,0,513,1,1
CTM,Decreasing,Y,N,46.0,20,18.78,0,567,0,1
Direct,Level with CI,N,N,44.0,15,25.64,0,513,1,1
Direct,Level,N,N,35.0,5,25.64,0,513,1,1
MSM,Level with CI,Y,N,47.0,30,23.72,0,513,1,1
Direct,Decreasing,Y,N,46.0,30,23.72,0,513,1,1
CTM,Level,N,N,47.0,30,9.19,0,565,0,1
CTM,Level accelerated,N,N,47.0,30,10.7,0,541,0,1
Direct,Decreasing,N,Y,44.0,20,143.99,0,9999,1,1
Direct,Level,N,N,47.0,20,5.0,0,538,0,1
Direct,Level,N,Y,46.0,20,5.0,0,538,0,1
MSM,Decreasing accelerated,Y,Y,33.0,25,35.82,0,575,0,1
MSM,Level accelerated,Y,N,44.0,15,33.09,0,575,0,1
Direct,Level,N,Y,52.0,20,18.54,0,9999,1,1
CTM,Level with CI,Y,Y,64.0,10,10.73,0,528,0,1
MSM,Level,Y,N,51.0,30,23.71,0,577,0,1
CTM,Decreasing with CI,N,Y,51.0,30,54.57,0,577,0,1
MSM,Level,Y,N,38.0,20,61.76,0,577,0,1
MSM,Decreasing with CI,Y,Y,44.0,5,97.72,0,577,0,1
CTM,Level with CI,Y,Y,63.0,35,80.24,0,569,0,1
CTM,Level,N,N,51.0,25,80.24,0,569,0,1
Direct,Level with CI,Y,Y,32.0,20,103.25,0,569,0,1
CTM,Level accelerated,Y,Y,44.0,20,80.24,0,569,0,1
MSM,Level with CI,Y,Y,49.0,30,221.95,0,9999,1,1
CTM,Level,N,N,44.0,10,22.03,0,558,0,1
Direct,Level with CI,N,N,58.0,40,22.03,0,558,0,1
Direct,Decreasing,N,N,55.0,5,22.03,0,558,0,1
Direct,Level with CI,Y,Y,24.0,20,18.68,0,558,0,1
CTM,Level with CI,N,Y,35.0,20,22.03,0,558,0,1
CTM,Decreasing,N,N,30.0,10,12.55,0,576,0,1
CTM,Level with CI,Y,N,50.0,30,21.93,0,576,0,1
Direct,Decreasing,Y,N,32.0,20,18.23,0,539,0,1
CTM,Level,Y,N,50.0,10,47.78,0,545,0,1
Direct,Level,Y,N,52.0,30,47.78,0,545,0,1
MSM,Level,N,N,49.0,40,47.78,0,545,0,1
MSM,Decreasing accelerated,N,N,55.0,30,59.78,0,560,0,1
CTM,Decreasing with CI,N,N,32.0,20,69.1,0,560,0,1
CTM,Decreasing,Y,N,46.0,10,59.78,0,560,0,1
Direct,Level,N,N,48.0,30,44.3,0,560,0,1
Direct,Level with CI,Y,N,47.0,30,44.3,0,560,0,1
Direct,Decreasing,Y,N,45.0,30,44.64,0,577,0,1
CTM,Decreasing,Y,N,46.0,30,148.08,0,577,0,1
Direct,Level with CI,Y,N,40.0,20,7.28,0,563,0,1
CTM,Level with CI,Y,N,38.0,10,7.28,0,563,0,1
CTM,Level,Y,N,32.0,5,7.1,0,563,0,1
Direct,Level with CI,N,Y,38.0,20,7.1,0,563,0,1
CTM,Level accelerated,N,Y,47.0,30,21.1,0,539,0,1
CTM,Level with CI,Y,Y,60.0,20,30.74,0,590,0,1
CTM,Level accelerated,N,Y,40.0,30,21.99,0,590,0,1
Direct,Level with CI,N,N,41.0,20,23.08,0,562,0,1
CTM,Level with CI,N,Y,33.0,20,23.08,0,562,0,1
CTM,Decreasing,Y,N,47.0,15,25.89,0,562,0,1
CTM,Level,Y,N,35.0,20,26.04,0,562,0,1
MSM,Level,Y,Y,32.0,10,4.62,1,553,0,1
CTM,Decreasing,N,N,44.0,10,4.92,1,553,0,1
CTM,Level,Y,Y,59.0,40,4.62,1,553,0,1
Direct,Level with CI,Y,Y,40.0,30,51.08,0,560,0,1
Direct,Decreasing with CI,Y,Y,41.0,15,15.05,1,531,0,1
CTM,Decreasing,N,N,35.0,10,15.05,1,531,0,1
CTM,Level accelerated,Y,N,46.0,10,15.05,1,531,0,1
CTM,Level with CI,N,N,36.0,30,15.05,1,531,0,1
MSM,Level with CI,Y,Y,62.0,30,83.07,0,518,1,1
Direct,Decreasing with CI,N,N,48.0,20,18.23,0,539,0,1
CTM,Level,Y,N,52.0,10,21.1,0,539,0,1
CTM,Decreasing with CI,Y,Y,54.0,5,27.65,0,547,0,1
CTM,Level,Y,Y,48.0,25,27.65,0,547,0,1
CTM,Level,N,N,53.0,5,126.28,0,540,0,1
CTM,Level,N,N,31.0,30,22.44,0,558,0,1
CTM,Level with CI,N,Y,46.0,30,22.44,0,558,0,1
MSM,Level with CI,N,Y,46.0,35,58.64,0,560,0,1
MSM,Level accelerated,Y,N,40.0,5,22.59,0,566,0,1
CTM,Decreasing,Y,N,58.0,30,22.59,0,566,0,1
Direct,Level,N,Y,47.0,5,20.73,0,494,0,0
CTM,Decreasing,Y,Y,46.0,20,20.73,0,494,0,0
CTM,Level,N,Y,50.0,20,17.41,0,555,0,1
MSM,Decreasing with CI,Y,N,46.0,20,47.33,0,554,0,1
CTM,Level,Y,N,44.0,30,40.0,0,554,0,1
Direct,Level with CI,N,Y,55.0,30,12.97,0,541,0,1
Direct,Level,N,N,32.0,10,21.6,0,541,0,1
MSM,Level with CI,N,N,44.0,5,16.04,0,541,0,1
CTM,Decreasing,Y,N,48.0,30,4.72,0,9999,1,1
CTM,Level accelerated,Y,Y,39.0,25,8.97,0,9999,1,1
CTM,Decreasing,N,Y,44.0,20,10.11,0,9999,1,1
CTM,Decreasing accelerated,Y,Y,62.0,20,5.82,0,9999,1,1
CTM,Decreasing,N,N,64.0,30,5.27,0,9999,1,1
CTM,Decreasing with CI,Y,N,39.0,15,8.03,0,9999,1,1
MSM,Level,N,Y,47.0,30,7.79,0,9999,1,1
Direct,Decreasing,Y,N,44.0,30,11.47,0,9999,1,1
MSM,Level,N,N,46.0,5,13.19,0,9999,1,1
Direct,Level,N,Y,34.0,10,14.94,0,9999,1,1
MSM,Level,N,N,36.0,20,5.19,0,9999,1,1
CTM,Level with CI,Y,Y,33.0,20,5.79,0,9999,1,1
MSM,Decreasing with CI,N,Y,50.0,30,4.93,0,9999,1,1
Direct,Decreasing with CI,N,N,46.0,20,4.37,0,9999,1,1
Direct,Decreasing with CI,N,N,45.0,5,4.84,0,9999,1,1
Direct,Decreasing with CI,Y,N,35.0,35,5.4,0,9999,1,1
CTM,Level,Y,N,44.0,40,6.15,0,9999,1,1
MSM,Decreasing,Y,Y,64.0,30,6.93,0,9999,1,1
CTM,Level with CI,Y,Y,47.0,10,6.51,0,9999,1,1
Direct,Decreasing with CI,Y,N,32.0,10,16.3,0,9999,1,1
CTM,Level accelerated,N,N,47.0,30,16.63,0,543,0,1
Direct,Level,Y,Y,46.0,20,16.63,0,543,0,1
Direct,Decreasing with CI,N,N,51.0,20,12.3,0,543,0,1
CTM,Level,Y,Y,26.0,5,114.94,0,572,0,1
CTM,Level with CI,Y,N,44.0,20,72.92,0,572,0,1
CTM,Decreasing,Y,Y,45.0,20,81.4,0,572,0,1
Direct,Decreasing with CI,N,N,38.0,30,27.84,0,572,0,1
MSM,Level with CI,N,Y,44.0,30,33.78,0,572,0,1
Direct,Level accelerated,Y,N,44.0,10,38.02,0,572,0,1
CTM,Decreasing with CI,N,N,50.0,30,30.39,0,572,0,1
CTM,Level,N,N,42.0,10,29.54,0,572,0,1
Direct,Level accelerated,N,Y,26.0,10,13.61,0,9999,1,1
CTM,Level with CI,Y,Y,34.0,5,13.61,0,9999,1,1
CTM,Level,Y,N,44.0,30,39.17,0,560,0,1
MSM,Level,Y,Y,47.0,20,58.64,0,560,0,1
CTM,Decreasing accelerated,Y,Y,44.0,20,58.64,0,560,0,1
CTM,Level accelerated,Y,N,31.0,30,27.44,0,9999,1,1
CTM,Level with CI,N,N,49.0,10,27.44,0,9999,1,1
MSM,Decreasing,Y,Y,59.0,5,27.44,0,9999,1,1
CTM,Level,Y,Y,33.0,10,61.82,0,9999,1,1
CTM,Level with CI,Y,Y,42.0,25,61.82,0,9999,1,1
Direct,Level,N,N,46.0,30,61.82,0,9999,1,1
Direct,Decreasing,Y,Y,54.0,30,13.07,0,537,0,1
CTM,Decreasing with CI,N,N,39.0,30,14.3,0,537,0,1
CTM,Decreasing,Y,N,43.0,30,15.53,0,537,0,1
Direct,Decreasing with CI,Y,N,48.0,40,15.53,0,537,0,1
CTM,Level,Y,Y,43.0,40,18.43,0,9999,1,1
CTM,Level with CI,Y,N,46.0,25,20.88,0,9999,1,1
CTM,Level with CI,N,Y,55.0,5,4.02,0,9999,1,1
CTM,Level,Y,N,44.0,20,4.43,0,9999,1,1
CTM,Level with CI,Y,Y,55.0,10,12.17,0,9999,1,1
Direct,Level,N,N,39.0,15,40.55,0,9999,1,1
CTM,Decreasing,N,Y,41.0,5,16.46,0,9999,1,1
CTM,Level accelerated,Y,Y,38.0,10,18.48,0,9999,1,1
CTM,Level with CI,Y,N,44.0,5,21.02,0,9999,1,1
Direct,Decreasing with CI,N,Y,43.0,30,29.64,0,9999,1,1
CTM,Level,Y,Y,41.0,30,33.54,0,9999,1,1
Direct,Decreasing with CI,N,N,43.0,30,38.33,0,9999,1,1
Direct,Decreasing with CI,Y,N,42.0,35,16.19,0,9999,1,1
CTM,Level with CI,Y,N,46.0,15,18.92,0,9999,1,1
CTM,Level,Y,Y,45.0,20,21.77,0,9999,1,1
Direct,Level,Y,N,37.0,30,5.39,0,9999,1,1
Direct,Level with CI,Y,Y,44.0,30,6.07,0,9999,1,1
CTM,Level with CI,Y,N,38.0,25,13.36,1,558,0,1
CTM,Decreasing,Y,N,35.0,30,13.36,1,558,0,1
MSM,Level with CI,N,Y,29.0,20,13.36,1,558,0,1
Direct,Level,N,N,46.0,25,9.06,0,549,0,1
Direct,Level,N,Y,54.0,20,9.06,0,549,0,1
Direct,Level with CI,N,Y,39.0,25,46.44,0,565,0,1
CTM,Decreasing accelerated,Y,N,49.0,15,41.3,0,563,0,1
CTM,Decreasing with CI,Y,N,53.0,10,41.3,0,563,0,1
CTM,Level with CI,Y,N,58.0,30,16.63,0,543,0,1
MSM,Decreasing accelerated,Y,N,43.0,20,16.63,0,543,0,1
CTM,Level with CI,N,Y,45.0,30,13.36,1,558,0,1
Direct,Level,Y,Y,44.0,20,27.48,0,9999,1,1
MSM,Level with CI,N,N,58.0,20,6.86,0,9999,1,1
MSM,Level accelerated,Y,N,47.0,30,8.09,0,9999,1,1
CTM,Level with CI,Y,N,42.0,30,9.29,0,9999,1,1
MSM,Level with CI,N,N,39.0,30,10.59,0,9999,1,1
MSM,Level with CI,N,N,50.0,25,24.14,0,9999,1,1
Direct,Level,N,N,40.0,30,28.06,0,9999,1,1
MSM,Decreasing accelerated,N,N,59.0,20,32.68,0,9999,1,1
CTM,Decreasing,Y,N,61.0,20,4.04,0,9999,1,1
MSM,Decreasing accelerated,Y,N,46.0,30,4.47,0,9999,1,1
Direct,Level,N,N,32.0,10,5.0,0,9999,1,1
Direct,Level with CI,N,N,32.0,20,46.79,0,9999,1,1
CTM,Decreasing with CI,Y,Y,40.0,30,86.16,0,9999,1,1
Direct,Decreasing with CI,Y,N,41.0,10,96.69,0,9999,1,1
CTM,Decreasing,Y,N,56.0,20,111.88,0,9999,1,1
MSM,Decreasing accelerated,N,N,36.0,35,13.43,0,9999,1,1
CTM,Level with CI,N,N,43.0,20,15.31,0,9999,1,1
CTM,Level,N,N,51.0,30,19.65,0,9999,1,1
Direct,Level with CI,N,N,45.0,30,21.84,0,9999,1,1
CTM,Decreasing accelerated,Y,N,40.0,10,52.85,0,9999,1,1
CTM,Decreasing with CI,Y,N,41.0,20,60.05,0,9999,1,1
Direct,Level with CI,Y,N,41.0,30,68.61,0,9999,1,1
CTM,Level with CI,Y,N,49.0,20,127.19,0,9999,1,1
MSM,Level,Y,Y,49.0,20,25.08,0,9999,1,1
MSM,Decreasing with CI,Y,N,54.0,10,36.28,0,9999,1,1
