Channel,Product,Smoker,Joint?,Person1 Age,Term,TotalPremium,Sale,JF (Score),EF (No. of people not same surname at current address),ND (Months since last CCJ)
Direct,Decreasing with CI,N,N,33.0,15,22.41,N,563,2.0,-999997.0
Direct,Decreasing with CI,N,Y,44.0,5,18.03,N,563,2.0,-999997.0
Direct,Level,Y,Y,35.0,20,18.03,N,563,2.0,-999997.0
CTM,Level,N,N,43.0,30,19.69,N,563,2.0,-999997.0
CTM,Level,Y,N,37.0,20,14.66,N,563,2.0,-999997.0
Direct,Decreasing,Y,N,59.0,20,14.66,N,563,2.0,-999997.0
CTM,Level,Y,Y,35.0,20,14.66,N,563,2.0,-999997.0
CTM,Decreasing accelerated,N,N,52.0,5,28.8,N,516,-999997.0,
CTM,Decreasing with CI,Y,Y,45.0,5,28.8,N,516,-999997.0,
CTM,Decreasing with CI,N,Y,45.0,20,28.8,N,516,-999997.0,
Direct,Level with CI,Y,N,29.0,20,23.36,N,471,-999997.0,
Direct,Decreasing,N,N,38.0,5,23.36,N,471,-999997.0,
Direct,Level,N,N,49.0,20,23.36,N,471,-999997.0,
Direct,Decreasing,N,Y,60.0,30,20.16,N,471,-999997.0,
Direct,Level,Y,N,52.0,20,65.88,N,9999,,
CTM,Decreasing with CI,Y,Y,47.0,20,65.88,N,9999,,
Direct,Decreasing,Y,N,58.0,30,12.0,N,573,10.0,-999997.0
Direct,Level,N,N,44.0,20,31.76,Y,580,3.0,-999997.0
CTM,Level,Y,Y,41.0,20,46.24,Y,580,3.0,-999997.0
Direct,Decreasing accelerated,N,N,41.0,30,31.76,Y,580,3.0,-999997.0
MSM,Level,N,Y,39.0,20,16.53,Y,580,3.0,-999997.0
CTM,Decreasing,Y,N,45.0,10,26.76,N,9999,,
Direct,Level with CI,Y,Y,40.0,40,11.15,N,9999,,
Direct,Level accelerated,Y,Y,33.0,40,26.76,N,9999,,
CTM,Level,N,N,40.0,15,10.27,N,558,3.0,-999997.0
CTM,Level with CI,Y,N,59.0,30,8.38,N,558,3.0,-999997.0
CTM,Level,Y,N,42.0,40,13.07,N,563,9.0,-999997.0
MSM,Decreasing,N,Y,38.0,20,13.07,N,563,9.0,-999997.0
CTM,Decreasing with CI,Y,Y,56.0,30,29.36,N,562,3.0,-999997.0
CTM,Level,Y,Y,43.0,30,33.29,N,572,16.0,-999997.0
CTM,Decreasing,Y,Y,46.0,20,220.49,N,546,8.0,-999997.0
Direct,Level,N,Y,41.0,40,100.0,N,546,8.0,-999997.0
MSM,Level,N,N,52.0,20,100.0,N,546,8.0,-999997.0
MSM,Level with CI,Y,Y,50.0,40,117.19,N,546,8.0,-999997.0
CTM,Level with CI,N,N,45.0,20,28.98,N,567,8.0,-999997.0
CTM,Level,Y,Y,35.0,5,25.74,N,567,8.0,-999997.0
CTM,Decreasing with CI,Y,N,48.0,20,20.46,N,567,8.0,-999997.0
Direct,Decreasing,Y,Y,39.0,10,25.74,N,567,8.0,-999997.0
MSM,Decreasing with CI,N,Y,45.0,20,20.46,N,567,8.0,-999997.0
Direct,Level with CI,Y,N,34.0,20,25.74,N,567,8.0,-999997.0
CTM,Level with CI,N,Y,49.0,20,25.02,N,567,8.0,-999997.0
CTM,Decreasing with CI,Y,N,40.0,30,25.02,N,567,8.0,-999997.0
Direct,Level with CI,N,N,46.0,5,27.28,N,567,8.0,-999997.0
CTM,Decreasing with CI,N,N,26.0,30,34.98,N,567,8.0,-999997.0
Direct,Decreasing,N,N,24.0,30,28.98,N,567,8.0,-999997.0
MSM,Level,N,N,39.0,20,220.49,N,546,8.0,-999997.0
CTM,Level,N,N,38.0,20,100.0,N,546,8.0,-999997.0
MSM,Level with CI,Y,N,52.0,10,100.0,N,546,8.0,-999997.0
CTM,Decreasing,Y,N,44.0,20,117.19,N,546,8.0,-999997.0
Direct,Level,N,N,27.0,5,5.32,N,537,10.0,-999997.0
CTM,Decreasing with CI,N,Y,50.0,5,6.5,N,537,10.0,-999997.0
CTM,Decreasing,Y,Y,36.0,30,6.5,N,537,10.0,-999997.0
CTM,Level,Y,N,50.0,20,24.93,N,9999,,
CTM,Decreasing accelerated,N,N,35.0,15,24.93,N,9999,,
Direct,Level with CI,N,Y,42.0,5,13.82,N,471,-999997.0,
Direct,Level with CI,N,Y,48.0,30,28.98,N,567,8.0,-999997.0
Direct,Decreasing with CI,Y,Y,41.0,5,25.74,N,567,8.0,-999997.0
MSM,Decreasing with CI,Y,Y,46.0,30,20.46,N,567,8.0,-999997.0
CTM,Level,N,Y,62.0,20,25.74,N,567,8.0,-999997.0
MSM,Level with CI,Y,N,33.0,20,20.46,N,567,8.0,-999997.0
CTM,Level,Y,Y,43.0,20,25.74,N,567,8.0,-999997.0
CTM,Decreasing with CI,N,N,38.0,20,25.02,N,567,8.0,-999997.0
CTM,Level,Y,N,59.0,25,27.28,N,567,8.0,-999997.0
Direct,Level with CI,N,Y,37.0,35,34.98,N,567,8.0,-999997.0
CTM,Level,Y,N,39.0,30,28.98,N,567,8.0,-999997.0
CTM,Decreasing,Y,N,49.0,20,19.65,Y,580,3.0,-999997.0
Direct,Decreasing,N,N,44.0,10,16.53,Y,580,3.0,-999997.0
CTM,Level,N,N,41.0,40,33.29,N,575,2.0,-999997.0
Direct,Decreasing,N,Y,34.0,5,19.07,N,9999,,
CTM,Decreasing,N,Y,44.0,25,10.88,N,9999,,
CTM,Decreasing with CI,Y,N,45.0,30,29.76,Y,568,13.0,-999997.0
Direct,Level,Y,Y,36.0,20,29.76,Y,568,13.0,-999997.0
CTM,Decreasing with CI,Y,Y,62.0,10,36.47,Y,568,13.0,-999997.0
CTM,Decreasing accelerated,N,N,42.0,20,10.68,Y,568,13.0,-999997.0
CTM,Level,Y,N,34.0,30,10.68,Y,568,13.0,-999997.0
CTM,Level,N,N,41.0,5,24.41,Y,9999,,
CTM,Level,Y,Y,44.0,10,24.41,Y,9999,,
Direct,Decreasing accelerated,Y,N,59.0,30,24.41,Y,9999,,
MSM,Level with CI,Y,Y,49.0,25,24.41,Y,9999,,
CTM,Level,Y,N,58.0,5,18.67,Y,9999,,
MSM,Level,N,Y,39.0,20,18.67,Y,9999,,
CTM,Level,Y,N,45.0,20,33.22,N,490,-999997.0,
CTM,Level,N,Y,50.0,30,30.84,N,490,-999997.0,
CTM,Level,N,Y,32.0,20,32.59,N,490,-999997.0,
Direct,Decreasing with CI,Y,N,41.0,20,32.4,N,490,-999997.0,
Direct,Level,N,N,44.0,40,30.0,N,490,-999997.0,
CTM,Level,N,Y,39.0,20,32.59,N,490,-999997.0,
CTM,Decreasing,N,Y,58.0,20,32.59,N,490,-999997.0,
Direct,Decreasing,N,N,44.0,10,32.28,N,490,-999997.0,
Direct,Level,Y,N,58.0,30,32.28,N,490,-999997.0,
CTM,Decreasing accelerated,Y,N,47.0,25,39.19,N,490,-999997.0,
CTM,Level,N,Y,39.0,20,37.87,N,490,-999997.0,
MSM,Level,N,N,59.0,20,36.34,N,490,-999997.0,
CTM,Level,N,N,41.0,30,36.22,N,490,-999997.0,
CTM,Decreasing,N,N,43.0,20,36.03,N,490,-999997.0,
CTM,Decreasing,Y,Y,34.0,20,35.72,N,490,-999997.0,
Direct,Level with CI,Y,N,47.0,20,34.46,N,490,-999997.0,
Direct,Level,Y,Y,48.0,20,32.91,N,490,-999997.0,
CTM,Level accelerated,N,Y,32.0,30,37.24,N,490,-999997.0,
CTM,Decreasing with CI,N,N,51.0,10,32.59,N,490,-999997.0,
CTM,Level with CI,Y,Y,35.0,20,35.0,N,490,-999997.0,
Direct,Level,N,Y,44.0,40,27.0,N,490,-999997.0,
Direct,Decreasing,Y,Y,43.0,20,19.97,N,490,-999997.0,
Direct,Level accelerated,N,Y,43.0,10,77.95,Y,588,4.0,-999997.0
MSM,Level with CI,Y,N,50.0,35,34.28,Y,588,4.0,-999997.0
CTM,Decreasing,Y,N,46.0,30,12.03,Y,588,4.0,-999997.0
MSM,Level,Y,Y,64.0,20,12.03,Y,588,4.0,-999997.0
CTM,Decreasing with CI,Y,Y,39.0,20,12.03,Y,588,4.0,-999997.0
Direct,Level,Y,Y,32.0,20,14.37,Y,588,4.0,-999997.0
MSM,Level,N,Y,21.0,30,18.24,Y,588,4.0,-999997.0
CTM,Level,N,Y,39.0,20,20.15,N,573,10.0,-999997.0
CTM,Decreasing,Y,Y,45.0,35,10.0,N,559,8.0,-999997.0
CTM,Level with CI,Y,Y,45.0,10,10.0,N,559,8.0,-999997.0
MSM,Level with CI,Y,N,50.0,20,52.99,N,559,8.0,-999997.0
CTM,Level,Y,N,37.0,5,20.01,N,559,8.0,-999997.0
MSM,Decreasing with CI,N,Y,39.0,10,17.72,Y,558,8.0,-999997.0
Direct,Level,Y,N,34.0,20,17.3,Y,558,8.0,-999997.0
CTM,Level with CI,N,Y,53.0,15,17.3,Y,558,8.0,-999997.0
CTM,Decreasing accelerated,N,Y,50.0,20,13.97,Y,558,8.0,-999997.0
CTM,Level with CI,N,N,49.0,10,17.72,Y,558,8.0,-999997.0
Direct,Level,N,N,41.0,20,17.72,Y,558,8.0,-999997.0
CTM,Decreasing with CI,Y,N,52.0,20,19.41,Y,558,8.0,-999997.0
Direct,Decreasing with CI,N,N,44.0,25,24.42,Y,558,8.0,-999997.0
MSM,Level with CI,Y,N,36.0,10,39.11,N,575,2.0,-999997.0
CTM,Level,Y,Y,44.0,10,37.53,N,575,2.0,-999997.0
CTM,Level,N,Y,39.0,30,15.0,N,572,3.0,-999997.0
CTM,Level,Y,N,59.0,15,15.0,N,572,3.0,-999997.0
CTM,Decreasing,N,N,50.0,30,15.0,N,572,3.0,-999997.0
CTM,Level accelerated,Y,Y,52.0,30,53.41,N,9999,,
Direct,Decreasing accelerated,Y,N,43.0,10,37.4,N,9999,,
Direct,Level,N,N,50.0,25,28.16,N,9999,,
Direct,Level,N,Y,35.0,20,35.14,N,567,8.0,-999997.0
CTM,Decreasing,N,N,48.0,10,35.14,N,567,8.0,-999997.0
CTM,Decreasing accelerated,Y,Y,45.0,30,36.4,N,490,-999997.0,
Direct,Decreasing accelerated,Y,N,48.0,30,33.09,N,513,-999997.0,
CTM,Level,Y,N,39.0,10,35.14,N,567,8.0,-999997.0
Direct,Decreasing with CI,N,N,43.0,20,35.14,N,567,8.0,-999997.0
CTM,Level accelerated,Y,Y,47.0,15,35.92,Y,562,13.0,-999997.0
Direct,Decreasing,Y,N,57.0,30,76.31,Y,562,13.0,-999997.0
CTM,Decreasing with CI,N,N,51.0,5,76.31,Y,562,13.0,-999997.0
CTM,Level,Y,N,49.0,15,19.49,N,9999,,
CTM,Decreasing with CI,N,N,47.0,20,19.49,N,9999,,
Direct,Level,N,N,33.0,30,74.84,N,565,6.0,-999997.0
CTM,Decreasing with CI,Y,N,51.0,30,15.9,Y,9999,,
Direct,Level,N,Y,54.0,25,15.9,Y,9999,,
MSM,Level accelerated,Y,N,48.0,5,15.9,Y,9999,,
MSM,Decreasing,Y,N,32.0,30,7.12,Y,566,7.0,-999997.0
CTM,Decreasing accelerated,N,N,45.0,20,7.12,Y,566,7.0,-999997.0
Direct,Level,Y,N,45.0,30,7.12,Y,566,7.0,-999997.0
MSM,Level with CI,Y,N,37.0,30,10.0,Y,528,5.0,-999997.0
MSM,Decreasing,N,N,51.0,20,10.0,Y,528,5.0,-999997.0
CTM,Level,Y,N,52.0,30,10.0,Y,528,5.0,-999997.0
CTM,Level,Y,Y,44.0,30,10.0,Y,528,5.0,-999997.0
MSM,Decreasing,Y,Y,46.0,30,5.19,N,534,4.0,-999997.0
MSM,Level with CI,Y,Y,39.0,30,5.19,N,534,4.0,-999997.0
Direct,Level,N,Y,55.0,10,5.19,N,534,4.0,-999997.0
CTM,Level,N,Y,42.0,5,5.02,N,534,4.0,-999997.0
CTM,Level,Y,N,56.0,20,5.19,N,534,4.0,-999997.0
CTM,Decreasing with CI,Y,N,45.0,20,15.17,N,554,0.0,-999997.0
Direct,Decreasing with CI,N,Y,44.0,5,15.17,N,554,0.0,-999997.0
Direct,Level,N,Y,26.0,30,23.95,Y,546,16.0,-999997.0
Direct,Level with CI,Y,N,34.0,10,29.05,N,553,5.0,-999997.0
CTM,Level,Y,N,32.0,35,25.56,N,553,5.0,-999997.0
CTM,Level,N,Y,39.0,10,23.1,N,548,8.0,-999997.0
Direct,Level,Y,N,46.0,5,25.64,N,513,-999997.0,
CTM,Decreasing,N,Y,52.0,30,25.64,N,513,-999997.0,
MSM,Level,N,Y,26.0,30,23.72,N,513,-999997.0,
MSM,Decreasing,Y,N,45.0,30,23.72,N,513,-999997.0,
CTM,Level with CI,N,Y,44.0,30,258.24,N,9999,,
CTM,Level with CI,Y,N,42.0,20,71.5,N,9999,,
Direct,Decreasing,Y,N,34.0,40,71.5,N,9999,,
Direct,Decreasing with CI,N,N,34.0,5,85.69,N,9999,,
MSM,Level,Y,N,54.0,15,35.72,N,545,11.0,-999997.0
CTM,Decreasing,Y,Y,30.0,20,35.72,N,545,11.0,-999997.0
MSM,Level accelerated,Y,Y,42.0,20,35.72,N,545,11.0,-999997.0
CTM,Decreasing with CI,N,N,48.0,30,35.72,N,545,11.0,-999997.0
Direct,Decreasing,Y,N,44.0,20,18.78,N,567,8.0,-999997.0
CTM,Decreasing with CI,N,Y,46.0,15,14.43,N,542,7.0,-999997.0
MSM,Decreasing with CI,N,N,54.0,20,14.43,N,542,7.0,-999997.0
CTM,Level,N,Y,48.0,30,66.0,N,561,3.0,-999997.0
CTM,Level with CI,Y,N,50.0,30,43.95,N,561,3.0,-999997.0
Direct,Level,Y,N,45.0,20,48.57,N,561,3.0,-999997.0
CTM,Level with CI,N,N,40.0,20,41.41,N,561,3.0,-999997.0
Direct,Level,N,Y,22.0,35,35.27,N,561,3.0,-999997.0
Direct,Decreasing,Y,Y,44.0,10,35.27,N,561,3.0,-999997.0
CTM,Level,N,N,36.0,15,34.94,N,577,4.0,-999997.0
CTM,Decreasing,Y,N,53.0,20,34.94,N,577,4.0,-999997.0
CTM,Level,N,N,39.0,25,16.96,N,565,10.0,-999997.0
Direct,Level,N,N,50.0,30,16.96,N,565,10.0,-999997.0
Direct,Level accelerated,Y,Y,31.0,30,16.96,N,565,10.0,-999997.0
MSM,Level,Y,Y,44.0,10,27.12,N,9999,,
CTM,Level,N,Y,47.0,20,12.27,N,541,21.0,-999997.0
Direct,Decreasing,Y,Y,36.0,5,12.27,N,541,21.0,-999997.0
Direct,Level accelerated,Y,N,50.0,20,10.98,N,541,21.0,-999997.0
CTM,Decreasing,N,N,47.0,35,12.39,N,541,21.0,-999997.0
Direct,Level with CI,Y,Y,44.0,30,10.7,N,541,21.0,-999997.0
CTM,Level,Y,N,54.0,10,10.7,N,541,21.0,-999997.0
CTM,Decreasing with CI,Y,Y,52.0,20,27.12,N,9999,,
CTM,Level,N,Y,38.0,10,14.75,N,564,8.0,-999997.0
Direct,Decreasing with CI,Y,N,39.0,20,14.75,N,564,8.0,-999997.0
MSM,Decreasing with CI,Y,N,38.0,5,24.2,N,568,3.0,-999997.0
MSM,Level,Y,Y,46.0,5,24.2,N,568,3.0,-999997.0
Direct,Level,Y,N,44.0,20,24.2,N,568,3.0,-999997.0
Direct,Level with CI,Y,N,52.0,5,68.38,N,571,4.0,-999997.0
CTM,Level with CI,N,N,41.0,10,35.27,N,561,3.0,-999997.0
CTM,Decreasing accelerated,Y,N,32.0,10,23.68,N,561,3.0,-999997.0
CTM,Level accelerated,N,N,29.0,20,43.26,N,561,3.0,-999997.0
MSM,Decreasing,N,Y,39.0,25,36.15,N,561,3.0,-999997.0
CTM,Level,N,Y,64.0,10,43.26,N,561,3.0,-999997.0
CTM,Level with CI,N,Y,32.0,20,33.64,N,561,3.0,-999997.0
CTM,Level accelerated,N,N,58.0,20,34.27,N,561,3.0,-999997.0
CTM,Decreasing with CI,Y,N,34.0,20,43.95,N,561,3.0,-999997.0
CTM,Level,Y,Y,36.0,10,44.49,N,549,7.0,-999997.0
MSM,Decreasing with CI,N,N,21.0,15,13.62,Y,542,8.0,-999997.0
Direct,Level,Y,Y,52.0,30,12.54,Y,542,8.0,-999997.0
Direct,Level,Y,N,42.0,20,12.54,Y,542,8.0,-999997.0
CTM,Level with CI,Y,N,40.0,20,33.09,N,513,-999997.0,
CTM,Decreasing,Y,N,46.0,20,18.78,N,567,8.0,-999997.0
Direct,Level with CI,N,N,44.0,15,25.64,N,513,-999997.0,
Direct,Level,N,N,35.0,5,25.64,N,513,-999997.0,
MSM,Level with CI,Y,N,47.0,30,23.72,N,513,-999997.0,
Direct,Decreasing,Y,N,46.0,30,23.72,N,513,-999997.0,
CTM,Level,N,N,47.0,30,9.19,N,565,6.0,-999997.0
CTM,Level accelerated,N,N,47.0,30,10.7,N,541,21.0,-999997.0
Direct,Decreasing,N,Y,44.0,20,143.99,N,9999,,
Direct,Level,N,N,47.0,20,5.0,N,538,0.0,-999997.0
Direct,Level,N,Y,46.0,20,5.0,N,538,0.0,-999997.0
MSM,Decreasing accelerated,Y,Y,33.0,25,35.82,N,575,12.0,-999997.0
MSM,Level accelerated,Y,N,44.0,15,33.09,N,575,12.0,-999997.0
Direct,Level,N,Y,52.0,20,18.54,N,9999,,
CTM,Level with CI,Y,Y,64.0,10,10.73,N,528,7.0,-999997.0
MSM,Level,Y,N,51.0,30,23.71,N,577,5.0,-999997.0
CTM,Decreasing with CI,N,Y,51.0,30,54.57,N,577,5.0,-999997.0
MSM,Level,Y,N,38.0,20,61.76,N,577,5.0,-999997.0
MSM,Decreasing with CI,Y,Y,44.0,5,97.72,N,577,5.0,-999997.0
CTM,Level with CI,Y,Y,63.0,35,80.24,N,569,12.0,-999997.0
CTM,Level,N,N,51.0,25,80.24,N,569,12.0,-999997.0
Direct,Level with CI,Y,Y,32.0,20,103.25,N,569,12.0,-999997.0
CTM,Level accelerated,Y,Y,44.0,20,80.24,N,569,12.0,-999997.0
MSM,Level with CI,Y,Y,49.0,30,221.95,N,9999,,
CTM,Level,N,N,44.0,10,22.03,N,558,5.0,-999997.0
Direct,Level with CI,N,N,58.0,40,22.03,N,558,5.0,-999997.0
Direct,Decreasing,N,N,55.0,5,22.03,N,558,5.0,-999997.0
Direct,Level with CI,Y,Y,24.0,20,18.68,N,558,5.0,-999997.0
CTM,Level with CI,N,Y,35.0,20,22.03,N,558,5.0,-999997.0
CTM,Decreasing,N,N,30.0,10,12.55,N,576,7.0,-999997.0
CTM,Level with CI,Y,N,50.0,30,21.93,N,576,7.0,-999997.0
Direct,Decreasing,Y,N,32.0,20,18.23,N,539,5.0,-999997.0
CTM,Level,Y,N,50.0,10,47.78,N,545,6.0,-999997.0
Direct,Level,Y,N,52.0,30,47.78,N,545,6.0,-999997.0
MSM,Level,N,N,49.0,40,47.78,N,545,6.0,-999997.0
MSM,Decreasing accelerated,N,N,55.0,30,59.78,N,560,5.0,-999997.0
CTM,Decreasing with CI,N,N,32.0,20,69.1,N,560,5.0,-999997.0
CTM,Decreasing,Y,N,46.0,10,59.78,N,560,5.0,-999997.0
Direct,Level,N,N,48.0,30,44.3,N,560,5.0,-999997.0
Direct,Level with CI,Y,N,47.0,30,44.3,N,560,5.0,-999997.0
Direct,Decreasing,Y,N,45.0,30,44.64,N,577,5.0,-999997.0
CTM,Decreasing,Y,N,46.0,30,148.08,N,577,5.0,-999997.0
Direct,Level with CI,Y,N,40.0,20,7.28,N,563,7.0,-999997.0
CTM,Level with CI,Y,N,38.0,10,7.28,N,563,7.0,-999997.0
CTM,Level,Y,N,32.0,5,7.1,N,563,7.0,-999997.0
Direct,Level with CI,N,Y,38.0,20,7.1,N,563,7.0,-999997.0
CTM,Level accelerated,N,Y,47.0,30,21.1,N,539,5.0,-999997.0
CTM,Level with CI,Y,Y,60.0,20,30.74,N,590,2.0,-999997.0
CTM,Level accelerated,N,Y,40.0,30,21.99,N,590,2.0,-999997.0
Direct,Level with CI,N,N,41.0,20,23.08,N,562,11.0,-999997.0
CTM,Level with CI,N,Y,33.0,20,23.08,N,562,11.0,-999997.0
CTM,Decreasing,Y,N,47.0,15,25.89,N,562,11.0,-999997.0
CTM,Level,Y,N,35.0,20,26.04,N,562,11.0,-999997.0
MSM,Level,Y,Y,32.0,10,4.62,Y,553,2.0,-999997.0
CTM,Decreasing,N,N,44.0,10,4.92,Y,553,2.0,-999997.0
CTM,Level,Y,Y,59.0,40,4.62,Y,553,2.0,-999997.0
Direct,Level with CI,Y,Y,40.0,30,51.08,N,560,5.0,-999997.0
Direct,Decreasing with CI,Y,Y,41.0,15,15.05,Y,531,9.0,-999997.0
CTM,Decreasing,N,N,35.0,10,15.05,Y,531,9.0,-999997.0
CTM,Level accelerated,Y,N,46.0,10,15.05,Y,531,9.0,-999997.0
CTM,Level with CI,N,N,36.0,30,15.05,Y,531,9.0,-999997.0
MSM,Level with CI,Y,Y,62.0,30,83.07,N,518,-999997.0,
Direct,Decreasing with CI,N,N,48.0,20,18.23,N,539,5.0,-999997.0
CTM,Level,Y,N,52.0,10,21.1,N,539,5.0,-999997.0
CTM,Decreasing with CI,Y,Y,54.0,5,27.65,N,547,3.0,-999997.0
CTM,Level,Y,Y,48.0,25,27.65,N,547,3.0,-999997.0
CTM,Level,N,N,53.0,5,126.28,N,540,8.0,-999997.0
CTM,Level,N,N,31.0,30,22.44,N,558,4.0,-999997.0
CTM,Level with CI,N,Y,46.0,30,22.44,N,558,4.0,-999997.0
MSM,Level with CI,N,Y,46.0,35,58.64,N,560,5.0,-999997.0
MSM,Level accelerated,Y,N,40.0,5,22.59,N,566,9.0,-999997.0
CTM,Decreasing,Y,N,58.0,30,22.59,N,566,9.0,-999997.0
Direct,Level,N,Y,47.0,5,20.73,N,494,7.0,46.0
CTM,Decreasing,Y,Y,46.0,20,20.73,N,494,7.0,46.0
CTM,Level,N,Y,50.0,20,17.41,N,555,12.0,-999997.0
MSM,Decreasing with CI,Y,N,46.0,20,47.33,N,554,5.0,-999997.0
CTM,Level,Y,N,44.0,30,40.0,N,554,5.0,-999997.0
Direct,Level with CI,N,Y,55.0,30,12.97,N,541,21.0,-999997.0
Direct,Level,N,N,32.0,10,21.6,N,541,21.0,-999997.0
MSM,Level with CI,N,N,44.0,5,16.04,N,541,21.0,-999997.0
CTM,Decreasing,Y,N,48.0,30,4.72,N,9999,,
CTM,Level accelerated,Y,Y,39.0,25,8.97,N,9999,,
CTM,Decreasing,N,Y,44.0,20,10.11,N,9999,,
CTM,Decreasing accelerated,Y,Y,62.0,20,5.82,N,9999,,
CTM,Decreasing,N,N,64.0,30,5.27,N,9999,,
CTM,Decreasing with CI,Y,N,39.0,15,8.03,N,9999,,
MSM,Level,N,Y,47.0,30,7.79,N,9999,,
Direct,Decreasing,Y,N,44.0,30,11.47,N,9999,,
MSM,Level,N,N,46.0,5,13.19,N,9999,,
Direct,Level,N,Y,34.0,10,14.94,N,9999,,
MSM,Level,N,N,36.0,20,5.19,N,9999,,
CTM,Level with CI,Y,Y,33.0,20,5.79,N,9999,,
MSM,Decreasing with CI,N,Y,50.0,30,4.93,N,9999,,
Direct,Decreasing with CI,N,N,46.0,20,4.37,N,9999,,
Direct,Decreasing with CI,N,N,45.0,5,4.84,N,9999,,
Direct,Decreasing with CI,Y,N,35.0,35,5.4,N,9999,,
CTM,Level,Y,N,44.0,40,6.15,N,9999,,
MSM,Decreasing,Y,Y,64.0,30,6.93,N,9999,,
CTM,Level with CI,Y,Y,47.0,10,6.51,N,9999,,
Direct,Decreasing with CI,Y,N,32.0,10,16.3,N,9999,,
CTM,Level accelerated,N,N,47.0,30,16.63,N,543,2.0,-999997.0
Direct,Level,Y,Y,46.0,20,16.63,N,543,2.0,-999997.0
Direct,Decreasing with CI,N,N,51.0,20,12.3,N,543,2.0,-999997.0
CTM,Level,Y,Y,26.0,5,114.94,N,572,6.0,-999997.0
CTM,Level with CI,Y,N,44.0,20,72.92,N,572,6.0,-999997.0
CTM,Decreasing,Y,Y,45.0,20,81.4,N,572,6.0,-999997.0
Direct,Decreasing with CI,N,N,38.0,30,27.84,N,572,6.0,-999997.0
MSM,Level with CI,N,Y,44.0,30,33.78,N,572,6.0,-999997.0
Direct,Level accelerated,Y,N,44.0,10,38.02,N,572,6.0,-999997.0
CTM,Decreasing with CI,N,N,50.0,30,30.39,N,572,6.0,-999997.0
CTM,Level,N,N,42.0,10,29.54,N,572,6.0,-999997.0
Direct,Level accelerated,N,Y,26.0,10,13.61,N,9999,,
CTM,Level with CI,Y,Y,34.0,5,13.61,N,9999,,
CTM,Level,Y,N,44.0,30,39.17,N,560,5.0,-999997.0
MSM,Level,Y,Y,47.0,20,58.64,N,560,5.0,-999997.0
CTM,Decreasing accelerated,Y,Y,44.0,20,58.64,N,560,5.0,-999997.0
CTM,Level accelerated,Y,N,31.0,30,27.44,N,9999,,
CTM,Level with CI,N,N,49.0,10,27.44,N,9999,,
MSM,Decreasing,Y,Y,59.0,5,27.44,N,9999,,
CTM,Level,Y,Y,33.0,10,61.82,N,9999,,
CTM,Level with CI,Y,Y,42.0,25,61.82,N,9999,,
Direct,Level,N,N,46.0,30,61.82,N,9999,,
Direct,Decreasing,Y,Y,54.0,30,13.07,N,537,7.0,-999997.0
CTM,Decreasing with CI,N,N,39.0,30,14.3,N,537,7.0,-999997.0
CTM,Decreasing,Y,N,43.0,30,15.53,N,537,7.0,-999997.0
Direct,Decreasing with CI,Y,N,48.0,40,15.53,N,537,7.0,-999997.0
CTM,Level,Y,Y,43.0,40,18.43,N,9999,,
CTM,Level with CI,Y,N,46.0,25,20.88,N,9999,,
CTM,Level with CI,N,Y,55.0,5,4.02,N,9999,,
CTM,Level,Y,N,44.0,20,4.43,N,9999,,
CTM,Level with CI,Y,Y,55.0,10,12.17,N,9999,,
